place_standardized_id,place_standardized,country_code,place_standardized_cc,authority_file_uri,latitude,longitude,region,n
5619,Borlon,BE,Borlon BE,http://sws.geonames.org/2801455/,50.37839,5.40635,F,0
5620,Bornem,BE,Bornem BE,http://sws.geonames.org/2801447/,51.09716,4.24364,A,0
5621,Bornhagen,DE,Bornhagen DE,http://sws.geonames.org/2946117/,51.33333,9.95,D,0
5622,Bornholt,DE,Bornholt DE,http://sws.geonames.org/3208540/,54.1,9.33333,B,2.0794415416798357
5623,Borno,IT,Borno IT,http://sws.geonames.org/3181727/,45.94748,10.20243,D,0
5624,Borrello,IT,Borrello IT,http://sws.geonames.org/3181721/,41.9173,14.30535,H,0
5625,Borrie,SE,Borrie SE,http://sws.geonames.org/2720333/,55.48333,13.85,C,0
5626,Börrstadt,DE,Börrstadt DE,http://sws.geonames.org/2946031/,49.57772,7.94245,D,0
5627,Borxleben,DE,Borxleben DE,http://sws.geonames.org/2945952/,51.4,11.23333,D,0
5628,Boskovice,CZ,Boskovice CZ,http://sws.geonames.org/3078910/,49.48751,16.65997,D,0
5629,Bossuit,BE,Bossuit BE,http://sws.geonames.org/2801348/,50.74851,3.40822,A,0
5630,Bötersen,DE,Bötersen DE,http://sws.geonames.org/2945807/,53.13333,9.31667,B,0
5631,Bottelare,BE,Bottelare BE,http://sws.geonames.org/2801308/,50.96411,3.75487,A,0
5632,Bottens,CH,Bottens CH,http://sws.geonames.org/2661435/,46.61596,6.66149,D,0
5633,Böttingen,DE,Böttingen DE,http://sws.geonames.org/2945762/,48.1,8.8,D,0
5634,Bottrop,DE,Bottrop DE,http://sws.geonames.org/2945756/,51.52392,6.9285,B,0
5635,Bouchain,FR,Bouchain FR,http://sws.geonames.org/3031380/,50.28519,3.31491,F,0
5636,Boulange,FR,Boulange FR,http://sws.geonames.org/3031191/,49.38229,5.95,F,0
5637,Boulens,CH,Boulens CH,http://sws.geonames.org/8533267/,46.68225,6.71909,D,0
5638,Bourbonne-les-Bains,FR,Bourbonne-les-Bains FR,http://sws.geonames.org/3031086/,47.95305,5.74801,F,0
5639,Bourglinster,LU,Bourglinster LU,http://sws.geonames.org/2960735/,49.70306,6.21725,F,0
5640,Boussu,BE,Boussu BE,http://sws.geonames.org/2801226/,50.43417,3.7944,F,0
5641,Bouzigues,FR,Bouzigues FR,http://sws.geonames.org/3030676/,43.4481,3.65781,F,0
5642,Bovekerke,BE,Bovekerke BE,http://sws.geonames.org/2801193/,51.05429,2.96324,A,0
5643,Bow,GB,Bow GB,http://sws.geonames.org/2655077/,50.8,-3.81667,E,0
5644,Bozan,TR,Bozan TR,http://sws.geonames.org/320734/,39.78806,31.10167,I,0
5645,Bozel,FR,Bozel FR,http://sws.geonames.org/3030641/,45.44288,6.64896,H,0
5646,Brachterbeek,NL,Brachterbeek NL,http://sws.geonames.org/2758429/,51.14694,5.90446,A,0
5647,Brad,RO,Brad RO,http://sws.geonames.org/683974/,46.13333,22.78333,I,0
5648,Brahin,BY,Brahin BY,http://sws.geonames.org/629646/,51.787,30.2677,I,0
5649,Brains,FR,Brains FR,http://sws.geonames.org/3030603/,47.1685,-1.7229,F,0
